model,x_cm,z_cm,combined,n,fallback_pct,period
kalman_q1,3.3300923623033105,3.632532164785163,3.4845950316837127,8764.0,0.0,confirmation_2025
ewma_w3_h1,3.3230135754754637,3.641980414741729,3.486146910570219,8764.0,0.0,confirmation_2025
kalman_q0.5,3.3372735102396964,3.631154561510042,3.4873111369451086,8764.0,0.0,confirmation_2025
adaptive_q1,3.3427479542452305,3.627136000868225,3.4878417004219826,8764.0,0.0,confirmation_2025
trend_d0.25,3.325831045858016,3.646367119874513,3.4897811764131412,8764.0,0.0,confirmation_2025
precision_h1_q0.25,3.3330928305844667,3.6456058356213994,3.4928462409624026,8764.0,0.0,confirmation_2025
monthly_w56_hflat,3.329623264100435,3.656087130064312,3.4966672835330455,8764.0,0.0,confirmation_2025
kalman_q0.25,3.3624374052395396,3.626814534807053,3.4971251746285623,8764.0,0.0,confirmation_2025
ema_a0.5,3.347046296129193,3.6504375559218643,3.502028930357154,8764.0,0.0,confirmation_2025
ewma_w2_h2,3.32564586316197,3.671418273171005,3.502801203589799,8764.0,0.0,confirmation_2025
precision_h2_q0.25,3.3524231541281706,3.6585211423682895,3.5088116188740064,8764.0,0.0,confirmation_2025
ewma_w2_h3,3.333798203052936,3.6795703603460495,3.510943498222105,8764.0,0.0,confirmation_2025
ewma_w6_h2,3.365886196605215,3.664725827323626,3.5184801603782248,8764.0,0.0,confirmation_2025
ewma_w3_h2,3.366952242365704,3.6658420345035116,3.5195713676742146,8764.0,0.0,confirmation_2025
monthly_w84_hflat,3.3816586398468873,3.660111287255454,3.5236366009810003,8764.0,0.0,confirmation_2025
ewma_w3_h3,3.3866305670212555,3.676752598317673,3.5346694517817694,8764.0,0.0,confirmation_2025
ewma_w6_h3,3.3897067023925014,3.679551156799345,3.5375986377589563,8764.0,0.0,confirmation_2025
trend_d0.5,3.3958827378195484,3.6994189892908,3.5508956917477987,8764.0,0.0,confirmation_2025
season_to_date,3.435420483063695,3.679137060989701,3.559365351365432,8764.0,0.0,confirmation_2025
uncorrected,6.719530778678674,5.698704514111483,6.23006127677588,8764.0,0.0,confirmation_2025
weekly_w84_h14,2.765013957654225,2.6520921194884255,2.7091414503745725,41477.0,0.0,all
weekly_w56_h14,2.7665688065540106,2.6540285625144246,2.7108827503269177,41477.0,0.0,all
weekly_w28_h14,2.77265937624696,2.659044313000807,2.71644590183498,41477.0,1.101815463992092,all
weekly_w28_h28,2.7819415139101777,2.6628700317367944,2.723056682548012,41477.0,1.101815463992092,all
weekly_w56_h28,2.7834155791851147,2.664065157516651,2.7243940105961757,41477.0,0.0,all
weekly_w84_h28,2.7858914884696073,2.6634922546262523,2.7253790906937554,41477.0,0.0,all
weekly_w28_h28_huber,2.7869813175780993,2.6634184169471506,2.725900083299333,41477.0,1.101815463992092,all
weekly_w56_h28_huber,2.787832853408093,2.6662746084685884,2.727730953219712,41477.0,0.0,all
weekly_w84_h28_huber,2.7894067319351654,2.6660143391318614,2.7284081780978,41477.0,0.0,all
weekly_w28_hflat,2.7928162736759266,2.6686303655558037,2.731429183273437,41477.0,1.101815463992092,all
monthly_w28_h14,2.8044746140169394,2.676247249446289,2.741110833296812,41477.0,0.0,all
monthly_w56_h14,2.809701302531696,2.6751234411728553,2.7432377617480417,41477.0,0.0,all
monthly_w84_h14,2.8102110133778364,2.6750886139820422,2.743481823556195,41477.0,0.0,all
weekly_w56_hflat,2.8106824905963808,2.6811407687229187,2.746675434471026,41477.0,0.0,all
monthly_w28_h28,2.8135756694392624,2.6811873959836285,2.7481788424374844,41477.0,0.0,all
monthly_w28_h28_huber,2.822070545169548,2.6805873440024066,2.7522382410266943,41477.0,0.0,all
monthly_w56_h28,2.8261617117568902,2.6834221571531534,2.755716285696073,41477.0,0.0,all
monthly_w28_hflat,2.8241332229105987,2.6886800885224593,2.7572385713939,41477.0,0.0,all
ema_a0.9,2.828926882932944,2.6880923312340657,2.759408241835566,41477.0,0.0,all
precision_h0.5_q2,2.82930668475327,2.6888203822838506,2.7599575508125676,41477.0,0.0,all
ema_a0.75,2.830220332801099,2.6880844217677984,2.760067480221406,41477.0,0.0,all
monthly_w84_h28,2.832936831343334,2.6858156727842992,2.760356581907072,41477.0,0.0,all
ewma_w6_h0.5,2.8298605535985386,2.6895721496986713,2.7606076415571774,41477.0,0.0,all
ewma_w3_h0.5,2.830153141619935,2.6895969342933745,2.760769681989201,41477.0,0.0,all
ewma_w6_h0.25,2.830429937043395,2.689375179740201,2.760803550229001,41477.0,0.0,all
ewma_w3_h0.25,2.8304397710766844,2.689379452299617,2.760810672261322,41477.0,0.0,all
ewma_w2_h0.25,2.8306138131225413,2.6895806617417297,2.760997889808612,41477.0,0.0,all
precision_h1_q2,2.8304752286672232,2.6900150132644938,2.761138423883086,41477.0,0.0,all
ewma_w2_h0.5,2.8299401336683094,2.690838744836436,2.7612654989025898,41477.0,0.0,all
precision_h0.5_q1,2.8314025622979218,2.689634185371716,2.7614283007990097,41477.0,0.0,all
weekly_w84_hflat,2.832451297745927,2.688846820650311,2.7615826602714493,41477.0,0.0,all
