season,month,park,x_cm,z_cm,x_se,z_se,min_raw_cov_eigenvalue,games,pitchers,rows,pitches
2021,6,대구,6.178452899874561,4.045365681058474,0.375040101884731,0.38232350363374024,-1.3447611909271501e-17,12,55,220,3339
2021,6,대전구,17.28508461248789,2.8297836335019415,0.4845580316437928,0.3679406019603062,-1.3447611909271501e-17,16,70,263,4301
2021,6,문학,-1.1346727730752377,2.512917268817424,0.44514211480841537,0.33570652377430776,-1.3447611909271501e-17,13,51,203,3238
2021,6,사직,1.7892476584424344,-2.19020711901503,0.4599942172819362,0.38207137900463684,-1.3447611909271501e-17,11,53,182,2940
2021,6,수원,15.828472047423338,5.9180194312805625,0.4867321181895222,0.4110195241456025,-1.3447611909271501e-17,13,58,214,3376
2021,6,잠실,0.0,0.0,0.19999999999999996,0.2,-1.3447611909271501e-17,24,98,367,5884
2021,6,창원,1.0914419594993312,1.44251562367611,0.5831966518429939,0.31892859903671594,-1.3447611909271501e-17,13,64,223,3465
2021,8,고척,10.743586767323734,9.665476723297626,0.5121788808976732,0.45270415382729584,-1.51169502009267e-17,9,38,127,2203
2021,8,광주,13.306310054826572,1.3875974295699436,0.5676327605673489,0.38464097312627404,-1.51169502009267e-17,7,40,128,1897
2021,8,대구,6.968688465114344,4.50163229522261,0.5887070172618368,0.3759314854136157,-1.51169502009267e-17,6,31,95,1479
2021,8,대전구,17.565648552884777,2.3150354711166683,0.47502526379959514,0.43688865616469647,-1.51169502009267e-17,9,38,127,1968
2021,8,문학,-1.1411707507796471,3.2253316144626423,0.818773511823654,0.39126452588025695,-1.51169502009267e-17,7,34,121,1771
2021,8,사직,2.178326601730131,-1.9937454422565963,0.6206659791500063,0.3384350886849025,-1.51169502009267e-17,8,40,126,1881
2021,8,수원,14.81605766163808,5.299378361955704,0.6008659734969631,0.46921399841136097,-1.51169502009267e-17,11,43,167,2653
2021,8,잠실,0.0,0.0,0.20000000000000004,0.2,-1.51169502009267e-17,16,75,224,3648
2021,8,창원,3.0900321387134895,0.7296573042158805,0.7542147167329537,0.4487552543307143,-1.51169502009267e-17,8,36,106,1764
2021,9,고척,10.479619073286237,10.145776256725936,0.5112441949312008,0.3583030723643923,-1.8602523420981316e-17,14,76,227,3316
2021,9,광주,14.108626502261803,1.4439361078543378,0.4069978544202924,0.35125017311203244,-1.8602523420981316e-17,15,66,222,3448
2021,9,대구,5.918089302367427,4.762452837926313,0.3805367442555319,0.39109321724597523,-1.8602523420981316e-17,15,68,233,3692
2021,9,대전구,17.661173356700854,2.318612703464807,0.43311963318072894,0.41525724901992733,-1.8602523420981316e-17,11,67,184,2787
2021,9,문학,-1.2239232130590985,3.1818225083625657,0.4133375260073276,0.2993633625954884,-1.8602523420981316e-17,14,73,240,3802
2021,9,사직,1.415590531017319,-2.0306509220490376,0.6301077068983547,0.3784198659225111,-1.8602523420981316e-17,9,49,151,2424
2021,9,수원,14.109082001829453,6.791702691195866,0.5786930782317035,0.5065438959592776,-1.8602523420981316e-17,12,54,177,2862
2021,9,잠실,0.0,0.0,0.19999999999999998,0.2,-1.8602523420981316e-17,26,99,330,5443
2021,9,창원,2.0202387570529723,1.8339628229041232,0.5190692379050744,0.35447198904585575,-1.8602523420981316e-17,15,68,218,3588
2021,10,고척,9.406936995564033,8.978181141397844,0.5274144001593167,0.43563052800315216,-4.850679480458991e-18,9,47,135,2052
2021,10,광주,11.442483486727888,1.363979008202099,0.4455879715620093,0.36990096108472664,-4.850679480458991e-18,13,64,209,3317
2021,10,대구,3.7622811516760493,4.4173602934370635,0.8877349823281301,0.46674369349334177,-4.850679480458991e-18,10,40,129,2268
2021,10,대전구,17.628446534763256,2.8669891160665406,0.46631282967356263,0.4052736445709185,-4.850679480458991e-18,12,63,217,3132
2021,10,문학,-3.261619634188669,2.6104760571319345,0.4357548984943971,0.3364396841200829,-4.850679480458991e-18,10,50,181,2681
2021,10,사직,0.6601296957905127,-2.06051730036733,0.39458859875962804,0.34062030453515935,-4.850679480458991e-18,19,69,265,4109
2021,10,수원,13.466358206046408,5.299775276334909,0.8132906897796159,0.5163314767919975,-4.850679480458991e-18,10,50,152,2566
2021,10,잠실,0.0,0.0,0.20000000000000004,0.19999999999999998,-4.850679480458991e-18,25,100,414,6295
2021,10,창원,-1.032767866430941,1.444967624343394,0.49800829450952794,0.4682592703998376,-4.850679480458991e-18,15,68,253,3862
2022,4,고척,9.720192701408212,10.516591349578402,0.4599778019960922,0.3558734141156043,2.390099734325852e-18,13,57,200,3028
2022,4,광주,6.749210826339267,2.619602770553424,0.3773955316424987,0.40237046038219954,2.390099734325852e-18,12,54,178,2959
