date,repeat,covariance,elapsed_ms,input_cells,input_games,aggregate_pitch_count,output_parks,columns,rank,input_memory_bytes
2025-09-30,3,False,30.28529998846352,5387,282,76263,9,27,27,2034598
2025-09-30,3,True,35.58909997809678,5387,282,76263,9,27,27,2034598
2025-05-01,4,False,21.579899999778718,3566,193,51105,9,25,25,1346059
2025-05-01,4,True,26.102700037881732,3566,193,51105,9,25,25,1346059
2025-05-11,4,False,24.96780001092702,4294,232,61648,9,25,25,1620821
2025-05-11,4,True,28.889299952425063,4294,232,61648,9,25,25,1620821
2025-05-23,4,False,31.247800041455775,5092,276,73562,9,25,25,1922473
2025-05-23,4,True,36.507500044535846,5092,276,73562,9,25,25,1922473
2025-06-03,4,False,29.916000028606504,5625,307,82448,9,25,25,2123760
2025-06-03,4,True,36.763799958862364,5625,307,82448,9,25,25,2123760
2025-06-14,4,False,34.07399996649474,5959,326,88074,9,25,25,2250551
2025-06-14,4,True,38.11419999692589,5959,326,88074,9,25,25,2250551
2025-06-25,4,False,33.0614999984391,5968,324,87605,9,25,25,2254112
2025-06-25,4,True,38.50830002920702,5968,324,87605,9,25,25,2254112
2025-07-05,4,False,33.467100001871586,6009,326,87999,9,25,25,2269691
2025-07-05,4,True,37.41010004887357,6009,326,87999,9,25,25,2269691
2025-07-22,4,False,30.853800009936094,5532,299,80545,9,25,25,2089638
2025-07-22,4,True,34.775500011164695,5532,299,80545,9,25,25,2089638
2025-08-01,4,False,31.709600007161498,5611,302,81343,9,27,27,2119344
2025-08-01,4,True,36.32410004502162,5611,302,81343,9,27,27,2119344
2025-08-12,4,False,33.3831999450922,5637,304,81752,9,27,27,2128903
2025-08-12,4,True,37.89630002574995,5637,304,81752,9,27,27,2128903
2025-08-22,4,False,31.05309995589778,5649,304,81563,9,27,27,2133661
2025-08-22,4,True,35.38759995717555,5649,304,81563,9,27,27,2133661
2025-09-02,4,False,31.34299995144829,5727,304,82140,9,27,27,2163183
2025-09-02,4,True,36.105800012592226,5727,304,82140,9,27,27,2163183
2025-09-12,4,False,29.354300000704825,5511,292,78886,9,27,27,2081394
2025-09-12,4,True,34.5994999515824,5511,292,78886,9,27,27,2081394
2025-09-21,4,False,30.42329999152571,5553,292,78986,9,27,27,2097277
2025-09-21,4,True,34.30240001762286,5553,292,78986,9,27,27,2097277
2025-09-30,4,False,29.718699981458485,5387,282,76263,9,27,27,2034598
2025-09-30,4,True,35.076199972536415,5387,282,76263,9,27,27,2034598
