park,x_cm,z_cm,season,month
광주,9.813265243427576,2.2797048368916286,2020,10
대구,2.864079523581581,4.957630560102195,2020,10
대전구,14.501794130490765,4.697307042822812,2020,10
문학,-2.7689067469339257,4.884942524821531,2020,10
사직,1.1511167722113562,-0.05721919137535503,2020,10
수원,13.844458905737035,7.537864285773359,2020,10
잠실,0.0,0.0,2020,10
창원,-2.05430590885024,2.9790817255294804,2020,10
고척,9.85558785704822,9.232266978016032,2021,4
광주,12.31692221787372,1.0025430360695096,2021,4
대구,7.138162184599616,3.9361854312785427,2021,4
대전구,15.771703247826645,1.9692838216403201,2021,4
문학,-1.4357382425674174,3.0109407921786606,2021,4
사직,0.48764230952245313,-2.5983332449786785,2021,4
수원,15.168587770127575,4.6485424551321195,2021,4
잠실,0.0,0.0,2021,4
창원,-0.0023173923070523017,0.7068673253549014,2021,4
고척,9.425356355034939,9.768033559320294,2021,5
광주,11.623715038599176,1.4337897828935626,2021,5
대구,4.081245680125448,3.357748574394945,2021,5
대전구,16.944281045956167,2.953316093241938,2021,5
문학,-1.622440145585756,3.406354384139661,2021,5
사직,0.48273166927054945,-1.9947030357965398,2021,5
수원,15.643844050873101,5.371445707765899,2021,5
잠실,0.0,0.0,2021,5
창원,-0.5011620715583618,2.3223335076605185,2021,5
고척,9.961643200348366,10.422418368496958,2021,6
광주,12.998294503134094,1.4365905912824084,2021,6
대구,6.1784528998745785,4.045365681058476,2021,6
대전구,17.28508461248793,2.8297836335019446,2021,6
문학,-1.134672773075244,2.5129172688174384,2021,6
사직,1.7892476584424388,-2.190207119015025,2021,6
수원,15.82847204742336,5.91801943128057,2021,6
잠실,0.0,0.0,2021,6
창원,1.091441959499357,1.4425156236761152,2021,6
고척,10.743586767323734,9.665476723297626,2021,8
광주,13.306310054826572,1.3875974295699436,2021,8
대구,6.968688465114343,4.50163229522261,2021,8
대전구,17.565648552884774,2.3150354711166683,2021,8
문학,-1.141170750779649,3.2253316144626423,2021,8
사직,2.17832660173013,-1.9937454422565963,2021,8
수원,14.81605766163808,5.299378361955704,2021,8
잠실,0.0,0.0,2021,8
창원,3.0900321387134886,0.7296573042158805,2021,8
고척,10.479619073286251,10.145776256725936,2021,9
광주,14.108626502261796,1.443936107854344,2021,9
대구,5.918089302367446,4.762452837926309,2021,9
대전구,17.66117335670087,2.3186127034648107,2021,9
